S.NO,District,Total Citizens,Unique Beneficiaries,(Unique Beneficiaries of each district/Total Citizens of each district)%,(Unique Beneficiaries of each district/Total unique beneficiaries)%
1,SRIKAKULAM,2581166,149638,0.057973025,0.045093881
2,VIZIANAGARAM,2199525,136905,0.062242984,0.041256751
3,VISAKHAPATNAM,4282175,318974,0.074488782,0.096123815
4,EAST GODAVARI,5126961,425425,0.082978006,0.128203158
5,WEST GODAVARI,3797366,296729,0.078140743,0.089420215
6,KRISHNA,4209739,344951,0.081941184,0.103952066
7,GUNTUR,4619750,335653,0.072656096,0.101150084
8,PRAKASAM,3205991,184968,0.057694485,0.055740687
9,CHITTOOR,3932880,292726,0.074430443,0.088213898
10,NELLORE,2694322,186790,0.069327274,0.056289752
11,KURNOOL,4062177,238707,0.058763318,0.071935103
12,KADAPA,2678509,152746,0.057026502,0.046030486
13,ANANATAPUR,4045776,254154,0.062819593,0.076590105
