S.NO,District,Total Citizens,Unique Beneficiaries,Beneficiaries with 1 Scheme,Beneficiaries with 2 Scheme,Beneficiaries with more than 2 Scheme
1,SRIKAKULAM,2581166,1310139,463184,446425,400530
2,VIZIANAGARAM,2199525,1104502,409143,379277,316082
3,VISAKHAPATNAM,4282175,1819518,767051,588003,464464
4,EAST GODAVARI,5126961,2341281,985888,732215,623178
5,WEST GODAVARI,3797366,1732734,753368,534615,444751
6,KRISHNA,4209739,1813926,789984,586006,437936
7,GUNTUR,4619750,2074779,917403,647544,509832
8,PRAKASAM,3205991,1509101,606891,516027,386183
9,CHITTOOR,3932880,1780211,705790,610698,463723
10,NELLORE,2694322,1186427,549171,399317,237939
11,KURNOOL,4062177,1753333,798600,546980,407753
12,KADAPA,2678509,1210972,496101,397359,317512
13,ANANATAPUR,4045776,1850981,737717,619539,493725
,ANDHRA PRADESH,47436337,21487904,8980291,7004005,5503608
