S.NO,District,Total Households,Households Benefitted,Households Benefitted with 1 Scheme,Households Benefitted with 2 Scheme,Households Benefitted with more than 2 Scheme
1,SRIKAKULAM,885047,799688,102484,142264,554940
2,VIZIANAGARAM,756752,682615,95067,131823,455725
3,VISAKHAPATNAM,1466394,1217921,232462,276838,708621
4,EAST GODAVARI,1851307,1626887,334999,366329,925559
5,WEST GODAVARI,1381257,1211946,266460,270922,674564
6,GUNTUR,1675406,1439850,322328,336348,781174
7,KRISHNA,1508991,1281238,289470,299090,692678
8,PRAKASAM,1138621,989970,188950,219401,581619
9,CHITTOOR,1301029,1133566,196016,241196,696354
10,NELLORE,990865,835559,211510,216413,407636
11,KURNOOL,1293834,1129663,230172,270161,629330
12,KADAPA,891046,780944,153480,171880,455584
13,ANANATAPUR,1328042,1169547,206838,247321,715388
,ANDHRA PRADESH,16468591,14299394,2830236,3189986,8279172
