S.NO,District,Total Citizens,Unique Beneficiaries,Beneficiaries with 1 Scheme,Beneficiaries with 2 Scheme,Beneficiaries with more than 2 Scheme
1,SRIKAKULAM,2581166,1327882,448449,438477,440956
2,VIZIANAGARAM,2199525,1122570,392159,374734,355677
3,VISAKHAPATNAM,4282175,1881300,741988,602672,536640
4,EAST GODAVARI,5126961,2405929,941590,737552,726787
5,WEST GODAVARI,3797366,1777986,719253,534502,524231
6,KRISHNA,4209739,1878630,754274,597925,526431
7,GUNTUR,4619750,2133908,881032,666761,586115
8,PRAKASAM,3205991,1539693,589961,517712,432020
9,CHITTOOR,3932880,1826713,682722,607936,536055
10,NELLORE,2694322,1229329,528186,416888,284255
11,KURNOOL,4062177,1798618,771747,566628,460243
12,KADAPA,2678509,1237798,479222,408142,350434
13,ANANATAPUR,4045776,1895051,711338,632458,551255
,ANDHRA PRADESH,47436337,22055407,8641921,7102387,6311099
