S.NO,District,Total Citizens,Unique Beneficiaries,Total Households,Unique Household Beneficiaries
1,SRIKAKULAM,2581166,1310139,885047,793137
2,VIZIANAGARAM,2199525,1104502,756752,675577
3,VISAKHAPATNAM,4282175,1819518,1466394,1187768
4,EAST GODAVARI,5126961,2341281,1851307,1593511
5,WEST GODAVARI,3797366,1732734,1381257,1190754
6,GUNTUR,4619750,2074779,1675406,1408040
7,KRISHNA,4209739,1813926,1508991,1246452
8,PRAKASAM,3205991,1509101,1138621,974937
9,CHITTOOR,3932880,1780211,1301029,1112523
10,NELLORE,2694322,1186427,990865,812974
11,KURNOOL,4062177,1753333,1293834,1106912
12,KADAPA,2678509,1210972,891046,767794
13,ANANATAPUR,4045776,1850981,1328042,1148922
Total,,47436337,21487904,16468591,14019301
