S.NO,District,Total Citizens,Unique Beneficiaries,Total Households,Unique Household Beneficiaries
1,SRIKAKULAM,2581166,1327882,885047,799688
2,VIZIANAGARAM,2199525,1122570,756752,682615
3,VISAKHAPATNAM,4282175,1881300,1466394,1217921
4,EAST GODAVARI,5126961,2405929,1851307,1626887
5,WEST GODAVARI,3797366,1777986,1381257,1211946
6,GUNTUR,4619750,2133908,1675406,1439850
7,KRISHNA,4209739,1878630,1508991,1281238
8,PRAKASAM,3205991,1539693,1138621,989970
9,CHITTOOR,3932880,1826713,1301029,1133566
10,NELLORE,2694322,1229329,990865,835559
11,KURNOOL,4062177,1798618,1293834,1129663
12,KADAPA,2678509,1237798,891046,780944
13,ANANATAPUR,4045776,1895051,1328042,1169547
Total,,47436337,22055407,16468591,14299394
